Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Active Flow Entries,Packets Looked Up,Packets Matched,Label
of:0000000000000008,Port#:1,498,6342011,40067,341,354,4,556,560,4,5,5,0,0,0,0,0,4,2918,2762,Diversion
of:0000000000000005,Port#:2,389,6331636,28323,215,256,4,556,759,5,5,3,0,0,0,0,0,5,2842,2733,PortScan
of:0000000000000004,Port#:1,26771,1453878,10935,78,76,4,556,556,4,5,1,0,0,0,0,0,5,26999,26908,PortScan
of:000000000000000b,Port#:1,518,45256,19016656,769,176,3,320,364,4,5,5,630348,6303483,630348,6303483,630348,8,2218,2114,Overflow
of:0000000000000003,Port#:4,305365,25534681,112893426,285529,1887,2,278,556,4,4,4,0,0,0,0,0,5,996096,995972,Normal
of:000000000000000b,Port#:2,96,12755,12626761,547,96,3,322,320,3,5,3,0,0,0,0,0,5,945,850,PortScan
of:000000000000000c,Port#:3,2350,12725607,142843,2353,146,105,5998,5998,105,5,2,2369,102697,2369,102697,2369,7,4685,4623,TCP-SYN
of:000000000000000a,Port#:3,173,6142504,22465,221,126,160,6141422,7144,109,5,2,0,0,0,0,0,10,1182,1093,TCP-SYN
of:0000000000000003,Port#:4,1314,79259,6397877,1707,106,98,5632,5632,98,5,1,475,72067,475,72067,475,7,3323,3217,TCP-SYN
of:0000000000000001,Port#:1,127,16706,16984,129,136,2,278,278,2,5,4,0,6303287,0,6303287,0,7,1808,1710,TCP-SYN
of:000000000000000c,Port#:2,861,25224046,6419504,1292,892,115,4857254,3926,55,5,2,0,0,0,0,0,6,4998,4834,Diversion
of:0000000000000001,Port#:3,457,12621589,22478,221,116,4,556,556,4,5,2,0,0,0,0,0,6,1626,1523,TCP-SYN
of:0000000000000002,Port#:2,253,6313903,10269,76,66,5,759,829,6,4,3,0,0,0,0,0,9,26050,25957,PortScan
of:0000000000000003,Port#:1,2850,50577155,50592241,3074,1162,5,736,458,3,5,3,0,0,0,0,0,6,9554,9345,Diversion
of:000000000000000a,Port#:4,349414,14769389,63395220,157264,1720,2,278,280,2,5,4,0,6303285,0,6303285,0,6,652521,652397,Normal
of:0000000000000004,Port#:1,183967,119053834,12796114,300736,2840,115,4071328,556,4,5,2,0,0,0,0,0,6,967599,967455,Normal
of:0000000000000004,Port#:2,284540,100229546,25501795,305074,1600,4,556,556,4,4,4,485798,12606637,485798,12606637,485798,6,956736,956604,Normal
of:0000000000000001,Port#:2,645,18918803,6346103,651,171,0,0,560,4,5,2,0,0,0,0,0,4,1895,1802,TCP-SYN
of:000000000000000a,Port#:3,174237,45151833,19010735,151629,1015,4,556,560,4,4,3,0,0,0,0,0,4,644690,644570,Normal
of:0000000000000004,Port#:3,7770,139035336,12831176,2181,2192,75,5096,278,2,5,4,564461,5908478,564461,5908478,564461,7,19751,19512,Diversion
of:0000000000000008,Port#:1,389,6324075,11775,88,86,2,278,278,2,5,4,0,0,0,0,0,11,1171,1075,PortScan
of:0000000000000002,Port#:1,321,39529,38949,292,407,2,278,280,2,5,3,0,0,0,0,0,4,1663,1556,Blackhole
of:000000000000000a,Port#:4,1457,6813461,25497743,1333,417,32,2681,560,4,5,4,0,0,0,0,0,6,4347,4246,Overflow
of:0000000000000001,Port#:1,41197,21079156,8511298,40830,91,89,3282923,3713,48,5,1,0,0,0,0,0,8,82199,82101,PortScan
of:0000000000000008,Port#:3,124,8704,6324044,331,171,0,0,560,4,5,1,0,0,0,0,0,8,7297,7198,TCP-SYN
of:0000000000000001,Port#:2,12,1016,15907,120,126,0,0,280,2,5,1,0,0,0,0,0,4,652,564,PortScan
of:0000000000000009,Port#:3,350,31288,6318144,282,116,49,3803,2889495,81,4,3,0,0,0,0,0,7,56659,56563,PortScan
of:0000000000000001,Port#:2,2696,63095360,57078698,4665,3057,0,0,278,2,5,3,0,0,0,0,0,4,22962,22737,Diversion
of:000000000000000b,Port#:2,4819,57082915,12875408,2364,2816,4,556,560,4,4,4,0,0,0,0,0,4,20586,20450,Blackhole
of:000000000000000b,Port#:2,263,6315398,19843,204,86,2,278,278,2,5,4,0,0,0,0,0,4,565,473,PortScan
of:000000000000000b,Port#:1,2086,50475419,38085029,3411,2222,0,0,560,4,4,1,0,0,0,0,0,406,6988,6905,Blackhole
of:000000000000000a,Port#:2,839,45574,53324,891,51,191,10314,10874,195,4,2,1112,44388,1112,44388,1112,9,1849,1765,TCP-SYN
of:0000000000000009,Port#:3,68,9356,1329002,24446,61,2,278,3459,46,5,2,0,0,0,0,0,6,24636,24536,PortScan
of:000000000000000c,Port#:4,2705,12745805,149429,2519,136,96,5342,5462,98,5,2,469,115830,469,115830,469,8,6259,6160,TCP-SYN
of:000000000000000c,Port#:4,124,16742,16742,124,136,3,320,320,3,5,1,0,0,0,0,0,9,3071,2969,TCP-SYN
of:0000000000000004,Port#:1,1025,18956819,25268692,1327,216,2,278,278,2,5,3,0,0,0,0,0,4,2983,2873,PortScan
of:0000000000000003,Port#:3,161,17500,18931573,737,136,2,278,278,2,4,1,0,0,0,0,0,6,2085,1971,Blackhole
of:0000000000000003,Port#:1,318196,128710319,114367715,319752,2527,66,1970650,3598,52,5,1,0,0,0,0,0,10,1005466,1005331,Normal
of:0000000000000001,Port#:4,2888,19160027,38035474,2903,1896,4,556,556,4,5,2,0,0,0,0,0,4,7534,7455,Blackhole
of:0000000000000004,Port#:2,489,6337570,26100,199,236,5,598,598,5,5,2,0,0,0,0,0,6,260495,260379,PortScan
of:0000000000000003,Port#:3,263,23718,15731,142,106,41,3275,556,4,5,3,0,0,0,0,0,8,1704,1612,Blackhole
of:000000000000000a,Port#:2,1103,67063,12493,92,91,98,5632,556,4,5,4,0,0,0,0,0,6,2289,2202,TCP-SYN
of:000000000000000a,Port#:3,3331,44382850,57002206,3847,2546,4,556,560,4,5,4,0,0,0,0,0,12,17702,17476,Diversion
of:0000000000000006,Port#:1,1063,139091,19067579,1860,1452,4,556,556,4,5,3,9,98,9,98,9,5,4964,4812,Diversion
of:0000000000000007,Port#:2,6034,88610680,232616,1712,2526,64,4646,278,2,5,2,0,0,0,0,0,5,14274,14136,Blackhole
of:0000000000000003,Port#:3,778,18936960,6339001,560,161,2,278,278,2,5,2,0,0,0,0,0,4,1596,1484,TCP-SYN
of:000000000000000c,Port#:1,126,16888,6335055,516,136,2,280,278,2,5,4,0,0,0,0,0,6,139035,138936,PortScan
of:0000000000000003,Port#:3,121381,68199673,82770696,318635,1827,2,278,556,4,5,3,0,0,0,0,0,7,995465,995341,Normal
of:000000000000000c,Port#:1,2254,25373503,31647459,2016,1121,4,556,556,4,5,4,0,0,0,0,0,4,7255,7136,Blackhole
of:000000000000000a,Port#:1,12,1016,10679,80,71,0,0,348,3,5,2,0,0,0,0,0,6,522,435,PortScan
of:0000000000000003,Port#:3,794,12663720,6358968,616,572,4,556,556,4,4,3,0,0,0,0,0,6,2654,2538,Blackhole
of:000000000000000b,Port#:1,4045,50723542,75935438,4717,2597,4,556,556,4,5,3,0,0,0,0,0,6,11563,11400,Diversion
of:000000000000000a,Port#:3,405,6326395,6325928,394,116,5,626,556,4,5,1,0,0,0,0,0,5,1248,1152,TCP-SYN
of:000000000000000c,Port#:4,61,8480,8202,59,51,4,556,556,4,4,1,0,0,0,0,0,6,1026,931,TCP-SYN
of:0000000000000004,Port#:1,195,21296,20568,179,154,4,556,556,4,5,2,0,0,0,0,0,4,1327,1179,Diversion
of:0000000000000001,Port#:4,6869,25562640,6501395,3529,176,272,3030745,8733,143,4,4,1378,158076,1378,158076,1378,10,14014,13911,TCP-SYN
of:000000000000000c,Port#:2,2308,50490683,50705108,3860,2357,0,0,560,4,5,2,0,0,0,0,0,6,16565,16433,Blackhole
of:000000000000000a,Port#:1,130,9089,6322015,316,146,0,0,560,4,5,2,0,0,0,0,0,4,1287,1195,TCP-SYN
of:000000000000000c,Port#:2,562,6330308,19014505,1379,993,0,0,560,4,4,2,0,0,0,0,0,7,4232,4109,TCP-SYN
of:0000000000000008,Port#:2,2907,31763074,38093049,3458,2347,2,278,278,2,5,1,0,0,0,0,0,504,13217,13085,Blackhole
of:0000000000000009,Port#:3,184,24920,25004,186,226,2,278,278,2,4,1,0,0,0,0,0,6,1997,1878,PortScan
of:0000000000000003,Port#:2,3975,100929562,69735862,5709,3137,139,5907414,5692,84,5,2,0,814,0,814,0,7,23155,22928,Diversion
of:0000000000000004,Port#:3,600,6345653,25262070,1216,246,4,556,6252,90,5,2,0,0,0,0,0,7,2284,2174,PortScan
of:000000000000000a,Port#:1,3567,75743426,88568319,5432,2497,0,0,560,4,5,1,0,0,0,0,0,6,17155,17024,Blackhole
of:0000000000000002,Port#:2,3001,63120823,79550731,241330,2250,0,0,280,2,5,1,0,6303353,0,6303353,0,7,516165,516077,Normal
of:0000000000000003,Port#:4,852,12671800,6381949,868,651,2,278,278,2,5,1,0,0,0,0,0,5,3667,3545,Blackhole
of:0000000000000009,Port#:3,68,9202,8922,66,56,4,560,560,4,5,2,0,0,0,0,0,6,637,587,TCP-SYN
of:000000000000000c,Port#:3,737,18931945,30607,346,111,2,278,278,2,4,2,0,0,0,0,0,4,1273,1169,TCP-SYN
of:0000000000000003,Port#:1,319841,164606052,152270142,321679,2987,0,0,556,4,5,1,1247452,12474520,1247452,12474520,1247452,8,1011545,1011410,Normal
of:0000000000000009,Port#:3,326,6314148,6371022,763,581,0,0,556,4,5,2,0,0,0,0,0,606,3127,3016,Blackhole
of:0000000000000003,Port#:2,958,6372019,25250773,1021,276,90,3283303,556,4,5,3,0,0,0,0,0,8,151182,151070,PortScan
of:0000000000000001,Port#:4,502,12617447,6448577,807,236,0,0,602,5,5,1,0,0,0,0,0,9980,2582,2476,Overflow
of:000000000000000b,Port#:2,225,6307238,46712,435,356,0,0,278,2,5,1,0,0,0,0,0,5,2126,2022,Blackhole
of:000000000000000a,Port#:2,1237,31542626,19112463,2283,1777,0,0,280,2,5,2,0,0,0,0,0,4,11079,10956,Blackhole
of:0000000000000005,Port#:3,5194,88531940,75924552,4835,2212,4,556,556,4,5,5,0,0,0,0,0,7,14652,14431,Diversion
of:0000000000000001,Port#:3,949,6345597,59382,953,66,171,2631811,9422,150,5,1,901,48205,901,48205,901,10,2310,2214,TCP-SYN
of:0000000000000001,Port#:3,3763,44411555,31824221,3699,2456,4,556,556,4,5,3,0,0,0,0,0,4,17271,17144,Blackhole
of:000000000000000c,Port#:1,1513,18975500,56892145,2933,1522,3,158,364,4,5,3,7,148,7,148,7,5,10616,10406,Diversion
of:000000000000000a,Port#:1,2566,44216608,86078821,247849,1770,0,0,560,4,4,1,0,0,0,0,0,6,653198,653074,Normal
of:000000000000000a,Port#:3,5863,101161166,82256922,5398,2066,4,556,5777457,147,5,3,0,0,0,0,0,605,18761,18634,Blackhole
of:0000000000000001,Port#:1,4771,113565818,101274550,6817,3317,0,0,278,2,5,2,0,0,0,0,0,4,25912,25682,Diversion
of:000000000000000a,Port#:2,872,18934440,18954444,1019,176,80,3020207,3659,49,4,2,344,7351,344,7351,344,8,8491,8386,TCP-SYN
of:0000000000000002,Port#:1,13,1102,10363,76,66,1,70,833,6,5,2,0,0,0,0,0,4,235,150,PortScan
of:0000000000000004,Port#:2,3230,75713872,69664322,4939,2697,3,190,322,3,5,2,0,0,0,0,0,104,11343,11176,Diversion
of:0000000000000001,Port#:4,40255,8475382,7952330,40274,76,92,6360,5777880,155,5,4,0,0,0,0,0,8,80590,80507,PortScan
of:0000000000000002,Port#:2,956,12658435,12643060,731,176,2,278,278,2,5,4,0,0,0,0,0,4,2205,2102,PortScan
of:000000000000000a,Port#:1,1007,12652258,48151502,245755,1015,0,0,560,4,4,1,0,0,0,0,0,4,644690,644570,Normal
of:0000000000000007,Port#:2,2797,38020057,19102045,2169,1752,2,278,278,2,5,3,0,0,0,0,0,5,8732,8597,Blackhole
of:000000000000000c,Port#:4,285,6317962,2790725,51402,111,2,278,3567,48,5,1,0,0,0,0,0,6,52073,51982,PortScan
of:0000000000000005,Port#:3,1702,231088,6564111,2303,2537,4,556,556,4,5,1,0,0,0,0,0,504,9512,9372,Blackhole
of:0000000000000001,Port#:1,119,15567,15189,110,121,4,556,556,4,5,2,0,0,0,0,0,4,530,468,PortScan
of:0000000000000007,Port#:1,153,14216,8040,59,46,96,6454,322,3,5,5,0,6963,0,6963,0,9,685,594,PortScan
of:0000000000000009,Port#:3,97,12897,6388954,1616,96,2,278,5516,99,5,2,502,71712,502,71712,502,7,3849,3743,TCP-SYN
of:0000000000000003,Port#:2,997,18967334,70674,670,552,2,278,280,2,5,4,0,0,0,0,0,4,2307,2191,Blackhole
of:0000000000000007,Port#:2,2040,37885256,56926695,3365,1662,0,0,278,2,5,2,0,0,0,0,0,204,11531,11320,Diversion
of:0000000000000007,Port#:3,1007,12652258,48156269,245790,1065,0,0,280,2,5,1,0,0,0,0,0,4,644796,644672,Normal
of:000000000000000a,Port#:3,165,22344,22344,165,196,4,556,556,4,5,1,0,0,0,0,0,5,1406,1293,TCP-SYN
of:000000000000000b,Port#:2,185364,26756221,30316613,120159,1490,2,280,280,2,5,2,0,0,0,0,0,4,511477,511396,Normal
of:000000000000000c,Port#:1,186,6304438,20428,211,91,140,5645628,5915,81,5,2,0,0,0,0,0,6,834,747,PortScan
of:0000000000000002,Port#:1,1554,37853196,25391501,2364,1442,0,0,278,2,5,2,0,0,0,0,0,5,4950,4798,Diversion
of:0000000000000002,Port#:1,1622,18982690,63203179,3160,1612,0,0,280,2,5,3,0,0,0,0,0,4,11346,11132,Diversion
of:0000000000000003,Port#:3,60,8050,7730,57,46,3,320,320,3,5,2,0,0,0,0,0,8,48676,48576,PortScan
of:0000000000000001,Port#:4,4202,50744448,38157449,4143,2706,2,278,278,2,5,3,0,0,0,0,0,606,19354,19226,Blackhole
of:0000000000000008,Port#:3,4289,31717313,23262,173,206,116,138121,556,4,5,3,0,0,0,0,0,7,5489,5387,TCP-SYN
of:0000000000000002,Port#:1,185,6304329,19152,198,76,74,2757669,4203,55,5,2,397,7945,397,7945,397,6,547,457,TCP-SYN
of:0000000000000004,Port#:3,145497,26763128,26436589,139488,271,6,640,640,6,5,3,0,0,0,0,0,6,285584,285473,PortScan
of:000000000000000c,Port#:2,775,18938403,21400,161,186,2,280,320,3,5,3,0,0,0,0,0,7,105426,105313,PortScan
of:0000000000000007,Port#:1,216,6306318,37570,371,254,0,0,280,2,4,3,640,6942,640,6942,640,6,2592,2443,Diversion
of:0000000000000005,Port#:2,93,12535,12283,87,91,4,556,556,4,5,3,0,0,0,0,0,5,41349,41240,PortScan
of:0000000000000002,Port#:2,5643,12905431,6609635,5579,156,202,11236,11236,202,5,2,993,278283,993,278283,993,8,11187,11124,TCP-SYN
of:0000000000000004,Port#:2,284555,100231534,25503505,305087,1620,4,556,278,2,4,4,0,0,0,0,0,4,956792,956660,Normal
of:0000000000000009,Port#:3,211,21997,6157043,275,126,103,6892,6141770,163,5,3,0,0,0,0,0,10,1182,1093,TCP-SYN
of:0000000000000002,Port#:2,54399,2947972,9244218,54441,116,5095,275470,275470,5095,5,2,0,0,0,0,0,6,109134,109079,PortScan
of:000000000000000a,Port#:1,187,6304485,21196,208,106,0,0,560,4,5,2,0,0,0,0,0,4,1167,1075,TCP-SYN
of:000000000000000c,Port#:3,3448,44374849,25484133,3211,2126,2,278,278,2,5,3,0,0,0,0,0,4,15134,15008,Blackhole
of:0000000000000007,Port#:2,1198,25277962,100216,1026,631,4,556,556,4,5,3,0,0,0,0,0,4,4673,4561,Blackhole
of:0000000000000004,Port#:1,177652,13800808,12612146,299403,810,2,278,556,4,4,2,337,7681,337,7681,337,6,948538,948414,Normal
of:0000000000000005,Port#:2,123,16398,16752,126,131,5,763,763,5,5,2,0,0,0,0,0,4,542,478,PortScan
of:000000000000000c,Port#:2,594,12634012,27950,263,176,2,278,278,2,4,3,0,0,0,0,0,6,1321,1218,PortScan
of:000000000000000a,Port#:2,3121,75712354,57004453,4254,1916,0,0,560,4,5,2,0,0,0,0,0,7,17590,17469,Blackhole
of:0000000000000003,Port#:3,257,6314741,11659,86,81,4,556,556,4,5,2,0,0,0,0,0,6,841,747,PortScan
of:0000000000000003,Port#:2,657,12641529,6338377,489,251,2,278,278,2,5,3,0,0,0,0,0,6,2591,2492,TCP-SYN
of:000000000000000a,Port#:3,2256,123760,6436905,2445,151,95,5130,5408,97,5,1,496,114372,496,114372,496,6,6651,6557,TCP-SYN
of:0000000000000007,Port#:1,654,6336674,25287681,1327,651,45,3246,3020491,82,5,2,0,0,0,0,0,6,5443,5330,Blackhole
of:000000000000000a,Port#:3,2070,44222134,6385378,806,867,4,556,556,4,5,3,0,0,0,0,0,7,5225,5108,Blackhole
of:000000000000000b,Port#:1,12,996,18294,139,146,0,0,560,4,5,2,0,0,0,0,0,4,1593,1491,TCP-SYN
of:0000000000000004,Port#:1,7696,151642070,113868908,7351,2797,4,556,556,4,5,2,0,0,0,0,0,6,27661,27422,Diversion
of:0000000000000004,Port#:1,182461,89696451,12746630,300380,2290,4,556,278,2,5,2,0,0,0,0,0,6,962518,962375,Normal
of:000000000000000c,Port#:4,1527,93378,25796,246,151,96,5342,278,2,5,2,0,0,0,0,0,8,4394,4290,TCP-SYN
of:0000000000000001,Port#:4,121,8467,6315588,265,86,37,2719,2101615,61,5,1,0,0,0,0,0,9,65225,65130,PortScan
of:0000000000000004,Port#:2,6641,94946242,145328358,7375,2797,2,278,556,4,5,3,0,6302552,0,6302552,0,6,27661,27422,Diversion
of:0000000000000007,Port#:1,159,21266,6333863,462,181,4,556,560,4,4,3,170750,6303353,170750,6303353,170750,9980,1868,1760,Overflow
of:0000000000000003,Port#:1,318998,158256690,114420702,320375,2747,0,0,278,2,5,1,0,7021,0,7021,0,7,1008093,1007958,Normal
of:000000000000000a,Port#:2,11,946,7898,58,41,0,0,560,4,5,1,0,0,0,0,0,5,174,94,PortScan
of:0000000000000001,Port#:2,186,6304397,26377,254,151,0,0,280,2,5,1,0,0,0,0,0,4,571,506,PortScan
of:0000000000000005,Port#:2,50,3692,19942,192,136,0,0,278,2,5,1,0,0,0,0,0,4,477,413,Blackhole
of:0000000000000004,Port#:1,80,11019,10935,78,76,4,556,556,4,4,3,0,0,0,0,0,6,839,744,PortScan
of:000000000000000a,Port#:4,77845,23070044,18442,139,151,5068,273842,280,2,5,5,0,0,0,0,0,8,155771,155665,PortScan
of:0000000000000008,Port#:3,783,12636854,25222447,1087,216,0,0,320,3,4,1,0,0,0,0,0,10,3573,3475,PortScan
of:0000000000000001,Port#:1,3922,82059008,94881838,5959,2846,0,0,556,4,5,1,0,0,0,0,0,6,20735,20607,Blackhole
of:0000000000000005,Port#:1,5002,75939390,94841902,5414,2292,6,704,556,4,5,3,14,148,14,148,14,5,20862,20623,Diversion
of:0000000000000007,Port#:1,63,8564,8118,57,51,4,556,556,4,4,3,529,21222,529,21222,529,6,751,660,TCP-SYN
of:0000000000000007,Port#:1,125,16678,6343073,636,131,5,763,759,5,5,4,459,96282,459,96282,459,7,4753,4645,TCP-SYN
of:0000000000000002,Port#:2,880,5341573,19006067,1340,836,142,5252612,278,2,5,1,0,0,0,0,0,6,4861,4743,Blackhole
of:000000000000000c,Port#:3,963,6396289,6455939,632,156,5,598,560,4,4,4,0,0,0,0,0,4,2028,1927,Overflow
of:000000000000000b,Port#:1,132,17660,12850884,4637,146,5,626,11090,199,5,3,0,0,0,0,0,10,9320,9226,TCP-SYN
of:0000000000000005,Port#:1,806,12657457,12683417,1190,424,2,278,278,2,4,4,0,0,0,0,0,4,4443,4290,Diversion
of:000000000000000a,Port#:3,1391,12719390,92264,734,922,4,556,556,4,5,2,0,0,0,0,0,6,5999,5833,Diversion
of:0000000000000008,Port#:2,284,6318228,15327059,50431,116,4,556,602,5,5,3,0,0,0,0,0,8,101102,101014,PortScan
of:0000000000000007,Port#:2,608,70891,12676863,926,631,4,556,3020765,84,5,1,0,0,0,0,0,8,3467,3350,Blackhole
of:0000000000000009,Port#:3,2194,31680686,146537,1092,1566,4,560,556,4,5,4,0,0,0,0,0,4,7365,7233,Blackhole
of:000000000000000c,Port#:2,296,6311949,6324389,387,96,0,0,280,2,5,1,0,0,0,0,0,6,1443,1356,PortScan
of:0000000000000003,Port#:3,627,54484,18940661,798,206,4,556,556,4,5,3,0,0,0,0,0,6,108651,108547,PortScan
of:000000000000000a,Port#:3,165,22538,22748,170,201,2,278,278,2,5,1,0,0,0,0,0,6,8047,7932,TCP-SYN
of:0000000000000008,Port#:2,753,18926238,12646404,815,121,62,2232606,3609,46,5,1,318,7879,318,7879,318,7,3240,3180,TCP-SYN
of:000000000000000a,Port#:1,654,85126,19008974,1389,901,2,278,278,2,5,4,0,0,0,0,0,4,5131,4965,Diversion
of:0000000000000003,Port#:2,34509,1865531,8170540,34632,71,1,70,278,2,5,2,0,0,0,0,0,6,69594,69503,PortScan
of:0000000000000003,Port#:2,619,6350778,45768,423,356,2,278,280,2,5,4,0,0,0,0,0,4,2788,2676,Blackhole
of:000000000000000b,Port#:1,132,17466,17396,131,141,4,556,556,4,5,2,0,0,0,0,0,5,1484,1381,TCP-SYN
of:0000000000000003,Port#:2,302,6312352,6332472,446,186,0,0,278,2,5,2,0,0,0,0,0,8,170693,170587,PortScan
of:000000000000000c,Port#:1,361,6321757,6322944,379,76,5,626,556,4,4,2,0,0,0,0,0,7,1009,907,PortScan
of:000000000000000a,Port#:2,10,856,9180,67,56,0,0,560,4,5,1,0,0,0,0,0,8,807,725,PortScan
of:000000000000000c,Port#:1,3812,69534129,56949929,3793,1552,4,556,556,4,5,3,0,0,0,0,0,6,13340,13119,Diversion
of:000000000000000a,Port#:4,5779,101133607,12792441,1901,1762,4,556,556,4,5,4,0,0,0,0,0,5,15106,14880,Diversion
of:000000000000000a,Port#:2,1178,25275182,97436,1006,601,2,278,3987,54,5,3,781,7813,781,7813,781,6,4612,4501,Blackhole
of:0000000000000001,Port#:4,723,12632865,18980915,1188,562,0,0,278,2,5,1,0,0,0,0,0,4,2277,2207,Blackhole
of:0000000000000007,Port#:3,794,50067,39264,625,56,103,5890,5740,100,4,3,523,29754,523,29754,523,8,1625,1529,TCP-SYN
of:000000000000000a,Port#:4,348816,14688794,19127500,154536,835,5,598,602,5,4,4,0,7746,0,7746,0,6,642713,642597,Normal
of:000000000000000c,Port#:4,2240,6427627,15343,113,126,99,5516,348,3,5,1,0,0,0,0,0,5,2566,2465,TCP-SYN
of:0000000000000001,Port#:4,581,12630420,6333861,503,126,72,2495685,3529,47,5,1,364,7351,364,7351,364,6,1672,1578,TCP-SYN
of:0000000000000007,Port#:1,5554,94823363,12785213,1849,1682,4,556,3394,47,5,4,0,7074,0,7074,0,7,14622,14396,Diversion
of:0000000000000001,Port#:4,165,22344,22260,163,196,4,556,556,4,5,1,0,0,0,0,0,7,103387,103283,PortScan
of:0000000000000002,Port#:1,344,23746,18934361,707,211,0,0,556,4,5,1,0,0,0,0,0,4,1319,1256,PortScan
of:0000000000000001,Port#:1,566,12628076,12877,95,96,2,278,280,2,5,5,0,0,0,0,0,6,1461,1364,PortScan
of:0000000000000003,Port#:1,1473,31558885,31681100,2363,1336,0,0,278,2,5,1,0,0,0,0,0,4,9075,8955,Blackhole
of:000000000000000c,Port#:2,2483,56789612,56947411,3635,1702,0,0,280,2,5,3,0,0,0,0,0,6,15272,15056,Diversion
of:000000000000000c,Port#:2,2483,56789612,56941251,3591,1632,0,0,560,4,5,3,0,148,0,148,0,7,14596,14380,Diversion
of:000000000000000c,Port#:4,3290,69432886,82245161,5058,2367,116,4595449,4467,59,5,1,0,0,0,0,0,6,16057,15926,Blackhole
of:0000000000000001,Port#:4,1887,12691787,6410031,1932,111,134,7993,2106672,155,5,1,631393,6379222,631393,6379222,631393,8,3892,3838,TCP-SYN
of:0000000000000003,Port#:3,2031,31637104,25338664,1931,942,2,278,556,4,5,5,0,0,0,0,0,4,6710,6549,Diversion
of:0000000000000003,Port#:1,184,24306,6342143,566,216,2,278,280,2,5,4,0,0,0,0,0,6,208337,208232,PortScan
of:0000000000000003,Port#:2,234,16218,12627381,505,171,0,0,556,4,5,2,0,0,0,0,0,6,2182,2076,PortScan
of:0000000000000009,Port#:1,102508,11845927,22958,175,201,5195,280700,278,2,5,1,0,0,0,0,0,6,103377,103273,PortScan
of:0000000000000008,Port#:2,436,12489002,29662,330,116,163,6171648,7722,113,5,4,0,0,0,0,0,8,859,771,TCP-SYN
of:0000000000000003,Port#:3,3242,6474077,19085753,3515,176,94,5076,5356,96,5,2,540,154284,540,154284,540,8,7930,7837,TCP-SYN
of:0000000000000001,Port#:1,11,926,14261,107,106,0,0,560,4,4,2,0,0,0,0,0,6,617,531,PortScan
of:0000000000000005,Port#:3,912,56215,11785,89,81,101,5794,556,4,5,4,-3871,0,-3871,0,-3871,7,2136,2041,TCP-SYN
of:0000000000000005,Port#:1,724,18929399,22972,258,106,4,556,556,4,5,4,0,7153,0,7153,0,8,1704,1612,Blackhole
of:0000000000000006,Port#:1,120,15835,15761,119,126,2,278,278,2,4,3,0,0,0,0,0,4,576,483,TCP-SYN
of:000000000000000c,Port#:2,660,18890127,6344076,639,151,0,0,362,4,5,1,0,0,0,0,0,4,1594,1534,TCP-SYN
of:0000000000000001,Port#:4,912,24945277,16201924,66696,146,161,6040420,598,5,5,3,0,0,0,0,0,7,68078,67964,PortScan
of:0000000000000001,Port#:4,3678,6495192,6588320,4363,1013,94,5076,5356,96,5,1,496,186848,496,186848,496,8,10643,10521,TCP-SYN
of:0000000000000005,Port#:3,3568,38080964,12799378,1884,1906,2,278,278,2,5,4,0,6303287,0,6303287,0,6,12851,12725,Blackhole
of:000000000000000a,Port#:1,2862,12911521,12878926,2371,2896,4,556,556,4,5,2,0,0,0,0,0,7,14596,14456,Blackhole
of:0000000000000003,Port#:2,1429,12723651,101684,870,937,2,278,278,2,5,4,630330,6303306,630330,6303306,630330,5,5893,5765,Blackhole
of:000000000000000a,Port#:3,7020,126424756,94928492,6419,2466,132,5121086,4862,65,5,3,0,0,0,0,0,7,21669,21540,Blackhole
of:0000000000000001,Port#:2,535,18911322,17186963,408005,857,0,0,560,4,5,2,0,7813,0,7813,0,6,641915,641797,Normal
of:0000000000000007,Port#:3,369,12608443,112033,612,291,152,6170689,8409,121,5,1,0,0,0,0,0,6,1479,1412,Overflow
of:0000000000000002,Port#:1,149478,26960630,33087152,146075,276,5330,287820,288376,5334,4,1,28782,7826169,28782,7826169,28782,6,296041,295976,PortScan
of:0000000000000001,Port#:4,1543,6385517,6324834,386,106,101,5794,556,4,5,1,0,0,0,0,0,6,2248,2154,TCP-SYN
of:0000000000000004,Port#:3,130198,25935157,25608534,124187,241,96,6710,6171121,157,5,3,0,0,0,0,0,8,254900,254793,PortScan
of:000000000000000b,Port#:1,3696,88328004,76024332,5632,3167,85,5610,5907974,143,4,2,297,7272,297,7272,297,9,12815,12645,Diversion
of:0000000000000008,Port#:3,1702,19053011,44280142,2576,1346,4,556,556,4,5,1,0,0,0,0,0,505,8329,8203,Blackhole
of:000000000000000c,Port#:1,343,23700,18930816,677,171,0,0,560,4,5,1,0,0,0,0,0,4,2167,2072,PortScan
of:000000000000000a,Port#:1,113992,18745595,12466730,114049,151,12547,678619,5007109,12592,5,1,0,0,0,0,0,10,229189,229086,PortScan
of:0000000000000003,Port#:1,2062,37886692,56952759,3560,1942,0,0,556,4,4,2,0,0,0,0,0,13,12229,12018,Diversion
of:0000000000000007,Port#:2,44358,14991025,2406871,44365,96,5054,273074,273074,5054,4,1,0,0,0,0,0,8,88915,88822,PortScan
